Plan Type,Product Purchased,Tickets,Customers,Risk_Proxy_Rate,Mean_Satisfaction,Mean_Sessions,Mean_Session_Trend
Enterprise,Bitbucket,238,238,0.35294117647058826,2.8513513513513513,123.60084033613445,-0.002521008403363406
Enterprise,Confluence,257,256,0.4163424124513619,3.0240963855421685,118.25291828793775,-0.027626459143970796
Enterprise,Jira,263,263,0.39923954372623577,3.130952380952381,126.36501901140684,-0.1034220532319412
Enterprise,Loom,231,231,0.39826839826839827,3.0,92.93073593073593,-0.19393939393939552
Enterprise,Trello,224,224,0.41964285714285715,3.2,112.22321428571429,-0.04107142857143052
Free,Bitbucket,251,251,0.44223107569721115,3.025,54.701195219123505,0.0752988047808757
Free,Confluence,348,345,0.3764367816091954,3.055045871559633,51.166666666666664,-0.03735632183908133
Free,Jira,318,316,0.31761006289308175,2.9901960784313726,63.74528301886792,-0.04811320754717082
Free,Loom,287,286,0.397212543554007,3.21505376344086,40.48780487804878,-0.08397212543554076
Free,Trello,302,301,0.4337748344370861,2.8333333333333335,53.420529801324506,-0.024172185430464448
Premium,Bitbucket,467,463,0.4261241970021413,2.9551282051282053,108.44111349036403,-0.10299785867237872
Premium,Confluence,497,497,0.3963782696177062,3.082802547770701,101.66398390342053,-0.005432595573442357
Premium,Jira,527,523,0.3946869070208729,2.8780487804878048,115.6774193548387,-0.053700189753322726
Premium,Loom,447,446,0.4317673378076063,3.127659574468085,75.91946308724832,-0.02102908277405039
Premium,Trello,445,442,0.4,2.947712418300654,103.03595505617977,-0.16000000000000184
Standard,Bitbucket,639,638,0.4287949921752739,2.9400921658986174,86.4585289514867,-0.08028169014084657
Standard,Confluence,729,727,0.3991769547325103,2.9485981308411215,81.6954732510288,0.01467764060356512
Standard,Jira,679,677,0.39764359351988215,2.948497854077253,96.2179675994109,-0.04963181148748324
Standard,Loom,664,664,0.43373493975903615,2.9690265486725664,63.94578313253012,0.00030120481927601786
Standard,Trello,656,654,0.4253048780487805,2.9953917050691246,84.59603658536585,0.0030487804878034565
